,firearm_used_flag,zip_code,report_no,age,sex
10819,True,64132,KC20012251,19,M
10837,True,64124,KC20013664,27,M
10853,True,64124,KC20006710,28,M
10874,True,64133,KC20004714,26,F
10908,True,64124,KC20000125,53,M
10910,True,64134,KC20006238,57,M
10913,True,64111,KC20007639,25,F
10938,True,64134,KC20013845,25,M
10948,True,64106,KC20011621,30,M
10966,True,64125,KC20000794,38,M
10967,True,64155,KC20007951,35,F
11006,True,64111,KC20015257,25,M
11008,True,64134,KC20007732,33,M
11013,True,64133,KC20004714,27,F
11018,True,64134,KC20014012,54,F
11025,True,64130,KC20006207,18,F
11047,True,64132,KC20006682,32,F
11052,True,64131,KC20010302,57,M
11053,True,64130,KC20007634,50,M
11069,True,64127,KC20000736,20,M
11081,True,64134,KC20008379,28,M
11095,True,64131,KC20002159,21,F
11112,True,64129,KC20010215,27,F
11117,True,64110,KC20000638,58,F
11130,True,64123,KC20014572,30,M
11180,True,64134,KC20011352,41,F
11199,True,64138,KC20010791,48,F
11214,True,64127,KC20008917,59,M
11236,True,64130,KC20008013,30,F
11240,True,64133,KC20004714,27,M
11242,True,64134,KC20014960,52,M
11243,True,64133,KC20004714,27,M
11249,True,64126,KC20015624,28,M
11263,True,64109,KC20001735,21,M
11357,True,64131,KC20002725,23,M
11369,True,64109,KC20015435,43,M
11397,True,64127,KC20011581,23,M
11409,True,64123,KC20009630,24,M
11455,True,64126,KC20010080,23,F
11495,True,64133,KC20004714,27,M
11496,True,64132,KC20006682,46,F
11542,True,64111,KC20015257,20,F
11548,True,64111,KC20015257,24,M
11567,True,64111,KC20015257,19,M
11591,True,64108,KC20000218,20,F
11603,True,64155,KC20007525,20,M
11628,True,64125,KC20000794,47,M
11652,True,64123,KC20009630,22,M
11690,True,64133,KC20000062,41,M
11698,True,64134,KC20015702,25,M
11729,True,64129,KC20015941,37,F
11754,True,64127,KC20000621,52,M
11761,True,64131,KC20003436,26,M
11763,True,64137,KC20004427,26,M
11769,True,64132,KC20004057,25,M
