,Lat,Lng
9354,39.055921, -94.472982
9356,39.050843, -94.590164
9367,38.914974, -94.505658
9394,39.239405, -94.580607
9405,39.099565, -94.539856
9416,38.9867, -94.487705
9451,39.091201, -94.563361
9467,39.068631, -94.569897
9471,39.252223, -94.655534
9474,39.16496, -94.57222
9476,38.882537, -94.589873
9491,39.034019, -94.466033
9492,38.950563, -94.517461
9506,39.11451, -94.524402
9525,39.084761, -94.576146
9583,39.107867, -94.544542
9598,39.106477, -94.51378
9630,39.033747, -94.41578
9631,38.929928, -94.51932
9633,39.078972, -94.558201
9639,38.939156, -94.517136
9658,39.173156, -94.493769
9672,39.256423, -94.541979
9681,39.103603, -94.510432
9686,39.033747, -94.41578
9701,39.03208, -94.560663
9759,39.248754, -94.593197
9762,39.100258, -94.603269
9763,39.059774, -94.495882
9764,39.105277, -94.521091
9796,39.237386, -94.576019
9806,38.99423, -94.565965
9859,39.002625, -94.558401
9952,39.084885, -94.572393
9962,38.920616, -94.583763
9974,39.152142, -94.477208
9981,39.058096, -94.583956
9998,39.065659, -94.539222
10015,39.033747, -94.41578
10017,39.077717, -94.52081
10027,39.056624, -94.587312
10054,39.02644, -94.429965
10068,39.244896, -94.464546
10073,39.293035, -94.681463
10079,38.939156, -94.517136
10081,39.091862, -94.552236
10088,38.948153, -94.515964
10096,39.063018, -94.56477
10099,39.11233, -94.515195
10102,39.078152, -94.531922
10123,39.113087, -94.537318
10150,39.166686, -94.545344
10189,39.247617, -94.470127
10211,38.924105, -94.495873
10220,39.03207, -94.464909
10236,39.033747, -94.41578
10284,38.997023, -94.482586
10289,38.918152, -94.491118
10329,39.246439, -94.585433
10330,39.112123, -94.509353
10337,39.293653, -94.684662
10346,39.194595, -94.615257
10358,39.262389, -94.560534
10375,38.939121, -94.587421
10406,39.296679, -94.581853
10451,38.987189, -94.557459
10464,39.095459, -94.507792
10476,39.103826, -94.562716
10493,38.984776, -94.605503
10501,39.223608, -94.663631
10518,39.025387, -94.595211
10543,39.102357, -94.58304
10545,39.084761, -94.576146
10548,38.928194, -94.496686
10553,38.943649, -94.512274
10555,39.105286, -94.563725
10573,38.889239, -94.586045
10585,38.922804, -94.493449
10595,39.252223, -94.655534
10602,39.042437, -94.595019
10645,39.078152, -94.531922
10650,39.04387, -94.540349
10662,39.033747, -94.41578
10664,39.036918, -94.448801
