,firearm_used_flag,zip_code,report_no
14203,True,64111,KC20001456
14204,True,64132,KC20000075
14223,True,64110,KC20000638
14249,True,64126,KC20012743
14284,True,64130,KC20015449
14286,True,64137,KC20012786
14319,True,64110,KC20001299
14347,True,64128,KC20014136
14362,True,64128,KC20000204
14379,True,64130,KC20006539
14395,True,64134,KC20010847
14430,True,64124,KC20016294
14434,True,64125,KC20000794
14467,True,64131,KC20011806
14476,True,64134,KC20000738
14478,True,64132,KC20002842
14480,True,64161,KC20001028
14513,True,64108,KC20007000
14526,True,64130,KC20001488
14527,True,64134,KC20004942
14539,True,64108,KC20009618
14543,True,64118,KC20015496
14568,True,64130,KC20008157
14592,True,64131,KC20006697
14607,True,64111,KC20015257
14608,True,64132,KC20002070
14632,True,64134,KC20016218
14642,True,64134,KC20008379
14662,True,64114,KC20000029
14665,True,64131,KC20002159
14666,True,64126,KC20012010
14669,True,64132,KC20003777
14723,True,64126,KC20012398
14763,True,64138,KC20010791
14782,True,64130,KC20008733
14790,True,64138,KC20008789
14828,True,64110,KC20005131
14833,True,64124,KC20003565
14834,True,64138,KC20000102
14839,True,64110,KC20000597
14873,True,64112,KC20008769
14875,True,64124,KC20000125
14881,True,64138,KC20004878
14893,True,64133,KC20004714
14913,True,64116,KC20000387
14915,True,64130,KC20010114
14919,True,64111,KC20004740
14925,True,64111,KC20015257
14931,True,64133,KC20004714
14935,True,64129,KC20013567
14941,True,64124,KC20013664
14946,True,64127,KC20003589
14969,True,64134,KC20000018
14976,True,64123,KC20009630
14991,True,64132,KC20005518
15001,True,64134,KC20006238
15005,True,64151,KC20002992
15011,True,64127,KC20015953
15024,True,64116,KC20000013
15047,True,64109,KC20009770
15050,True,64126,KC20010080
15051,True,64108,KC20009618
15064,True,64154,KC20002387
15085,True,64109,KC20015835
15087,True,64127,KC20012017
15089,True,64132,KC20006189
15100,True,64110,KC20000048
15102,True,64123,KC20000357
15106,True,64129,KC20013930
15115,True,64108,KC20009618
15127,True,64134,KC20004297
15129,True,64130,KC20002310
15140,True,64128,KC20008719
15148,True,64151,KC20009863
15169,True,64111,KC20005611
15175,True,64134,KC20009823
15184,True,64123,KC20014572
15193,True,64110,KC20000638
15200,True,64145,KC20007253
15205,True,64134,KC20011352
15206,True,64155,KC20007951
15234,True,64133,KC20014671
15256,True,64125,KC20007375
15327,True,64120,KC20010297
15332,True,64130,KC20000358
15339,True,64106,KC20011948
15353,True,64128,KC20011837
15355,True,64128,KC20001542
15356,True,64128,KC20008838
15370,True,64132,KC20002012
15392,True,64130,KC20001776
15414,True,64124,KC20007605
15428,True,64132,KC20006726
15439,True,64118,KC20004727
15450,True,64130,KC20010200
15481,True,64134,KC20002731
15517,True,64106,KC20015668
15521,True,64155,KC20012054
15527,True,64128,KC20001032
15546,True,64118,KC20002038
15549,True,64133,KC20015456
15555,True,64109,KC20008267
15563,True,64111,KC20004740
15573,True,64111,KC20015257
15593,True,64133,KC20004714
15618,True,64138,KC20004878
15642,True,64111,KC20015257
15679,True,64130,KC20003459
15697,True,64030,KC20006857
15706,True,64155,KC20009838
15717,True,64129,KC20003867
15759,True,64133,KC20004714
15784,True,64108,KC20009618
15814,True,64111,KC20006244
15867,True,64130,KC20016984
15872,True,64109,KC20004965
15880,True,64133,KC20004714
15888,True,64124,KC20002758
15896,True,64147,KC20014160
15905,True,64133,KC20004714
15907,True,64126,KC20001881
